Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Arm,Avg EV,Max EV,FV,playerId
"Alexander Vargas","SS","NYY",90,5,"18.9666666","25 / 55",50,55,"20 / 40","35 / 50","60 / 60","45 / 60","50 / 55",81,99,"50","sa3008851"
"Geraldo Perdomo","SS","ARI",91,4,"20.9861111","35 / 55",70,60,"30 / 45","45 / 50","55 / 55","45 / 55","55 / 55",87,103,"50","sa3003290"
"Andres Gimenez","SS","NYM",92,2,"22.1194444","45 / 55",40,50,"30 / 40","40 / 45","60 / 55","55 / 60","55 / 55",87,103,"50","19950"
"Tyler Freeman","SS","CLE",94,4,"21.4055555","35 / 60",30,70,"20 / 30","40 / 45","55 / 50","45 / 50","45 / 45",86,102,"50","sa3004755"
"Liover Peguero","SS","PIT",97,6,"19.7972222","25 / 60",50,55,"35 / 40","45 / 50","60 / 55","45 / 55","55 / 55",90,105,"50","sa3005582"
"Corbin Carroll","CF","ARI",98,5,"20.1555555","25 / 60",55,50,"30 / 50","45 / 50","70 / 70","50 / 60","55 / 55",91,108,"50","sa3010593"
"Brice Turang","SS","MIL",100,1,"20.9055555","30 / 40",60,40,"30 / 40","45 / 50","55 / 55","50 / 60","55 / 55",87,102,"50","sa3008294"
"Ivan Herrera","C","STL",101,4,"20.3777777","35 / 50",55,55,"25 / 40","50 / 55","30 / 30","45 / 55","50 / 50",87,110,"50","sa3003191"
"Mark Vientos","3B","NYM",102,3,"20.85","30 / 45",40,40,"35 / 60","60 / 70","40 / 35","35 / 45","55 / 60",91,105,"50","sa3004720"
"Heston Kjerstad","RF","BAL",103,5,"21.6805555","35 / 55",45,60,"35 / 60","55 / 60","50 / 45","45 / 50","50 / 50",96,108,"50",
"Brayan Rocchio","SS","CLE",106,5,"19.7611111","25 / 60",40,60,"20 / 45","40 / 45","60 / 60","45 / 55","50 / 50",85,102,"50","sa3005898"
"Heriberto Hernandez","LF","TEX",112,3,"20.8361111","35 / 60",60,60,"35 / 60","55 / 65","30 / 30","30 / 45","45 / 45",95,112,"50","sa3005630"
"William Contreras","C","ATL",113,4,"22.8138888","35 / 50",40,50,"35 / 50","50 / 55","45 / 40","45 / 55","60 / 60",89,106,"50","20503"
